iter	Passed	Remaining
627	1452	5486
628	1454	5483
629	1456	5480
630	1458	5476
631	1460	5472
632	1463	5471
633	1465	5468
634	1467	5464
635	1468	5460
636	1471	5457
637	1473	5453
638	1474	5449
639	1477	5447
640	1479	5445
641	1481	5441
642	1483	5437
643	1485	5434
644	1487	5429
645	1489	5426
646	1491	5422
647	1493	5421
648	1496	5419
649	1498	5416
650	1500	5413
651	1502	5410
652	1504	5408
653	1506	5405
654	1509	5404
655	1512	5405
656	1514	5402
657	1516	5398
658	1518	5395
659	1520	5391
660	1522	5387
661	1524	5385
662	1527	5382
663	1529	5381
664	1531	5378
665	1534	5377
666	1536	5373
667	1538	5369
668	1540	5366
669	1542	5365
670	1545	5363
671	1547	5360
672	1549	5356
673	1551	5352
674	1552	5349
675	1554	5345
676	1557	5344
677	1559	5342
678	1562	5341
679	1564	5337
680	1566	5335
681	1568	5331
682	1570	5328
683	1573	5329
684	1576	5329
685	1579	5329
686	1581	5325
687	1583	5321
688	1585	5318
689	1586	5311
690	1589	5310
691	1591	5308
692	1593	5304
693	1595	5301
694	1597	5297
695	1599	5293
696	1601	5290
697	1603	5288
698	1606	5286
699	1607	5283
700	1609	5279
701	1611	5275
702	1613	5272
703	1615	5269
704	1617	5266
705	1620	5264
706	1622	5263
707	1625	5263
708	1628	5262
709	1630	5258
710	1632	5255
711	1634	5253
712	1636	5250
713	1638	5246
714	1640	5243
715	1642	5239
716	1644	5235
717	1646	5232
718	1648	5228
719	1650	5226
720	1652	5224
721	1654	5220
722	1656	5217
723	1658	5213
724	1660	5209
725	1662	5206
726	1664	5202
727	1666	5200
728	1668	5198
729	1670	5195
730	1672	5191
731	1674	5188
732	1676	5184
733	1678	5180
734	1680	5178
735	1683	5177
736	1685	5175
737	1687	5173
738	1689	5170
739	1691	5166
740	1693	5163
741	1697	5164
742	1700	5165
743	1702	5163
744	1705	5161
745	1707	5158
746	1709	5155
747	1711	5154
748	1715	5155
749	1717	5152
750	1719	5149
751	1721	5146
752	1723	5142
753	1725	5138
754	1727	5136
755	1729	5133
756	1735	5141
757	1737	5139
758	1739	5136
759	1741	5133
760	1743	5130
761	1746	5128
762	1748	5125
763	1750	5122
764	1752	5119
765	1753	5115
766	1755	5112
767	1757	5108
768	1759	5105
769	1762	5103
770	1764	5102
771	1766	5099
772	1768	5096
773	1769	5090
774	1771	5086
775	1773	5083
776	1775	5080
777	1778	5079
778	1780	5076
779	1782	5073
780	1784	5070
781	1786	5066
782	1788	5063
783	1790	5059
784	1792	5056
785	1794	5055
786	1795	5049
787	1797	5046
788	1799	5042
789	1801	5039
790	1803	5036
791	1806	5034
792	1808	5032
793	1812	5034
794	1814	5032
795	1816	5030
796	1818	5027
797	1820	5024
798	1822	5021
799	1825	5020
800	1827	5017
801	1830	5016
802	1832	5012
803	1833	5009
804	1836	5007
805	1838	5004
806	1840	5002
807	1843	5001
808	1846	4999
809	1847	4996
810	1850	4995
811	1852	4991
812	1853	4986
813	1855	4982
814	1857	4980
815	1860	4978
816	1862	4976
817	1864	4974
818	1866	4971
819	1869	4969
820	1871	4968
821	1874	4966
822	1876	4963
823	1878	4962
824	1880	4958
825	1882	4955
826	1884	4951
827	1886	4948
828	1889	4947
829	1891	4944
830	1893	4940
831	1894	4937
832	1896	4934
833	1898	4930
834	1900	4927
835	1902	4925
836	1905	4923
837	1907	4920
838	1909	4917
839	1910	4913
840	1912	4910
841	1914	4907
842	1916	4904
843	1919	4903
844	1921	4901
845	1923	4898
846	1925	4895
847	1927	4892
848	1929	4888
849	1931	4885
850	1933	4882
851	1937	4884
852	1940	4885
853	1944	4885
854	1946	4883
855	1948	4879
856	1950	4877
857	1953	4876
858	1956	4875
859	1958	4872
860	1960	4869
861	1961	4865
862	1963	4862
863	1966	4861
864	1969	4860
865	1971	4858
866	1973	4856
867	1976	4853
868	1977	4850
869	1979	4847
870	1981	4844
871	1984	4843
872	1986	4839
873	1988	4836
874	1989	4831
875	1991	4828
876	1993	4825
877	1995	4822
878	1997	4819
879	1999	4818
880	2002	4815
881	2004	4812
882	2006	4809
883	2008	4806
884	2009	4803
885	2011	4800
886	2014	4798
887	2016	4795
888	2018	4792
889	2020	4790
890	2022	4787
891	2024	4784
892	2026	4781
893	2028	4778
894	2030	4776
895	2033	4774
896	2035	4772
897	2037	4769
898	2039	4766
899	2041	4763
900	2043	4760
901	2045	4757
902	2047	4755
903	2049	4752
904	2051	4749
905	2053	4746
906	2055	4742
907	2057	4739
908	2059	4736
909	2060	4733
910	2065	4735
911	2066	4731
912	2068	4729
913	2071	4727
914	2073	4724
915	2076	4723
916	2081	4728
917	2083	4725
918	2086	4723
919	2088	4721
920	2090	4718
921	2093	4717
922	2095	4716
923	2098	4715
924	2100	4712
925	2102	4709
926	2104	4706
927	2106	4703
928	2108	4700
929	2111	4699
930	2114	4699
931	2116	4696
932	2118	4694
933	2120	4691
934	2123	4689
935	2126	4688
936	2128	4686
937	2130	4684
938	2133	4682
939	2135	4680
940	2138	4679
941	2141	4678
942	2144	4677
943	2146	4675
944	2149	4673
945	2151	4671
946	2153	4669
947	2156	4667
948	2159	4666
949	2161	4665
950	2164	4662
951	2166	4660
952	2168	4657
953	2170	4655
954	2173	4655
955	2176	4652
956	2178	4650
957	2180	4647
958	2182	4644
959	2184	4642
960	2186	4639
961	2189	4637
962	2191	4635
963	2193	4633
964	2195	4630
965	2197	4627
966	2199	4624
967	2202	4622
968	2204	4620
969	2206	4618
970	2209	4616
971	2211	4613
972	2213	4610
973	2215	4608
974	2217	4605
975	2219	4603
976	2222	4601
977	2224	4598
978	2226	4596
979	2228	4593
980	2230	4590
981	2232	4587
982	2235	4586
983	2237	4584
984	2240	4582
985	2242	4580
986	2244	4578
987	2247	4576
988	2249	4574
989	2252	4573
990	2255	4571
991	2257	4569
992	2259	4567
993	2261	4564
994	2263	4561
995	2266	4559
996	2268	4557
997	2270	4554
998	2272	4552
999	2274	4549
1000	2276	4547
1001	2279	4545
1002	2282	4545
1003	2286	4545
1004	2288	4542
1005	2290	4540
1006	2292	4537
1007	2295	4536
1008	2298	4534
1009	2300	4532
1010	2302	4529
1011	2304	4527
1012	2306	4524
1013	2308	4521
1014	2310	4518
1015	2312	4516
1016	2315	4514
1017	2317	4511
1018	2319	4508
1019	2321	4506
1020	2323	4503
1021	2325	4500
1022	2327	4497
1023	2329	4495
1024	2332	4494
1025	2334	4491
1026	2336	4489
1027	2338	4486
1028	2340	4483
1029	2342	4481
1030	2345	4478
1031	2347	4477
1032	2350	4475
1033	2352	4473
1034	2355	4471
1035	2357	4468
1036	2359	4465
1037	2362	4465
1038	2364	4463
1039	2366	4460
1040	2368	4457
1041	2370	4455
1042	2373	4452
1043	2375	4450
1044	2378	4448
1045	2380	4447
1046	2382	4444
1047	2384	4441
1048	2386	4439
1049	2389	4436
1050	2391	4434
1051	2393	4432
1052	2395	4429
1053	2397	4427
1054	2399	4424
1055	2401	4421
1056	2404	4419
1057	2406	4416
1058	2408	4414
1059	2410	4412
1060	2413	4410
1061	2415	4407
1062	2417	4404
1063	2419	4402
1064	2421	4399
1065	2423	4397
1066	2426	4395
1067	2428	4392
1068	2430	4390
1069	2432	4387
1070	2434	4385
