iter	Passed	Remaining
795	145215	188087
796	145388	187892
797	145549	187682
798	145741	187512
799	145906	187307
800	146091	187128
801	146280	186954
802	146479	186792
803	146658	186607
804	146848	186433
805	147041	186264
806	147253	186119
807	147447	185952
808	147632	185772
809	147831	185610
810	148025	185442
811	148224	185280
812	148414	185107
813	148590	184917
814	148772	184732
815	148954	184550
816	149136	184366
817	149305	184168
818	149493	183992
819	149681	183816
820	149881	183655
821	150070	183480
822	150251	183296
823	150457	183142
824	150645	182965
825	150852	182813
826	151039	182635
827	151228	182460
828	151434	182306
829	151649	182161
830	151856	182008
831	152147	181955
832	152335	181778
833	152533	181614
834	152735	181453
835	152947	181305
836	153107	181095
837	153300	180924
838	153506	180768
839	153699	180597
840	153895	180429
841	154086	180255
842	154316	180127
843	154519	179967
844	154708	179790
845	154909	179628
846	155113	179469
847	155303	179294
848	155477	179101
849	155676	178936
850	155865	178759
851	156054	178582
852	156241	178405
853	156412	178208
854	156619	178051
855	156799	177865
856	156984	177683
857	157248	177591
858	157472	177454
859	157673	177290
860	157859	177111
861	158050	176936
862	158283	176808
863	158443	176598
864	158608	176394
865	158822	176245
866	159041	176101
867	159252	175948
868	159427	175755
869	159621	175583
870	159832	175430
871	160031	175263
872	160213	175078
873	160397	174895
874	160568	174698
875	160758	174521
876	160950	174347
877	161143	174174
878	161338	174003
879	161548	173847
880	161594	173516
881	161781	173337
882	161952	173140
883	162127	172948
884	162303	172757
885	162490	172577
886	162666	172385
887	162851	172204
888	163030	172016
889	163202	171821
890	163381	171632
891	163564	171449
892	163758	171277
893	163958	171111
894	164158	170944
895	164372	170792
896	164597	170652
897	164795	170484
898	164969	170290
899	165124	170078
900	165267	169852
901	165444	169663
902	165596	169447
903	165766	169250
904	165948	169065
905	166159	168910
906	166357	168742
907	166549	168566
908	166745	168396
909	166956	168241
910	167158	168075
911	167360	167910
912	167566	167750
913	167799	167615
914	167974	167423
915	168201	167283
916	168398	167113
917	168563	166910
918	168755	166735
919	168946	166558
920	169123	166369
921	169324	166202
922	169518	166028
923	169740	165883
924	169934	165708
925	170112	165519
926	170311	165350
927	170503	165175
928	170698	165002
929	170856	164794
930	171022	164592
931	171205	164409
932	171454	164287
933	171656	164121
934	171847	163943
935	172022	163752
936	172207	163569
937	172444	163435
938	172666	163288
939	172862	163115
940	173043	162929
941	173242	162759
942	173469	162616
943	173678	162455
944	173866	162275
945	174083	162122
946	174294	161963
947	174478	161779
948	174740	161667
949	174964	161519
950	175167	161353
951	175377	161192
952	175558	161005
953	175757	160834
954	175950	160658
955	176140	160479
956	176323	160293
957	176495	160098
958	176689	159923
959	176892	159756
960	177106	159598
961	177301	159424
962	177498	159251
963	177689	159072
964	177863	158879
965	178048	158695
966	178235	158513
967	178440	158347
968	178653	158188
969	178844	158010
970	179027	157824
971	179198	157628
972	179390	157450
973	179596	157285
974	179786	157105
975	179983	156932
976	180172	156751
977	180351	156563
978	180511	156357
979	180668	156149
980	180854	155966
981	181064	155804
982	181246	155617
983	181439	155440
984	181623	155255
985	181837	155096
986	182044	154931
987	182238	154755
988	182428	154575
989	182626	154402
990	182832	154235
991	183021	154055
992	183192	153859
993	183398	153693
994	183608	153529
995	183793	153345
996	183981	153164
997	184171	152983
998	184332	152780
999	184517	152595
1000	184742	152444
1001	184926	152259
1002	185112	152076
1003	185301	151895
1004	185528	151745
1005	185755	151595
1006	185978	151442
1007	186176	151268
1008	186388	151105
1009	186586	150931
1010	186809	150777
1011	186975	150577
1012	187162	150394
1013	187360	150220
1014	187565	150052
1015	187774	149886
1016	187994	149730
1017	188181	149547
1018	188390	149381
1019	188594	149211
1020	188818	149057
1021	189011	148879
1022	189260	148744
1023	189442	148556
1024	189647	148387
1025	189821	148194
1026	189994	147999
1027	190191	147823
1028	190366	147631
1029	190519	147421
1030	190722	147250
1031	190923	147077
1032	191118	146900
1033	191287	146702
1034	191483	146526
1035	191659	146334
1036	191831	146139
1037	191993	145937
1038	192227	145789
1039	192415	145606
1040	192612	145430
1041	192818	145261
1042	193049	145111
1043	193293	144970
1044	193485	144790
1045	193665	144600
1046	193882	144439
1047	194068	144255
1048	194303	144106
1049	194484	143918
1050	194696	143753
1051	194910	143589
1052	195080	143392
1053	195296	143229
1054	195497	143055
1055	195684	142871
1056	195893	142703
1057	196105	142538
1058	196312	142368
1059	196518	142198
1060	196691	142003
1061	196913	141844
1062	197144	141691
1063	197320	141499
1064	197518	141323
1065	197720	141149
1066	197924	140977
1067	198133	140808
1068	198312	140618
1069	198497	140432
1070	198661	140231
1071	198849	140047
1072	199035	139863
1073	199225	139680
1074	199400	139487
1075	199559	139283
1076	199729	139087
1077	199895	138888
1078	200103	138718
1079	200310	138547
1080	200495	138362
1081	200692	138184
1082	200871	137994
1083	201053	137807
1084	201253	137631
1085	201425	137436
1086	201630	137264
1087	201824	137084
1088	202015	136903
1089	202206	136721
1090	202398	136540
1091	202610	136372
1092	202799	136189
1093	203017	136025
1094	203200	135838
1095	203387	135653
1096	203586	135476
1097	203749	135275
1098	203922	135082
1099	204179	134943
1100	204377	134766
1101	204562	134580
1102	204767	134407
1103	204941	134214
1104	205176	134060
1105	205348	133866
1106	205570	133704
1107	205712	133490
1108	205873	133288
1109	206057	133101
1110	206243	132916
1111	206414	132721
1112	206602	132537
1113	206767	132338
1114	206962	132158
1115	207151	131975
1116	207364	131807
1117	207575	131637
1118	207787	131468
1119	207956	131272
1120	208140	131085
1121	208335	130906
1122	208557	130743
1123	208786	130584
1124	208959	130390
1125	209135	130199
1126	209292	129995
1127	209465	129801
1128	209662	129623
1129	209865	129448
1130	210056	129265
1131	210259	129090
1132	210459	128913
1133	210636	128722
1134	210830	128541
1135	211033	128366
1136	211223	128183
1137	211426	128007
1138	211603	127816
1139	211780	127625
1140	211977	127446
1141	212152	127254
1142	212332	127065
1143	212551	126899
1144	212754	126723
1145	212945	126540
1146	213141	126361
1147	213331	126177
1148	213522	125995
1149	213729	125821
1150	213932	125645
1151	214156	125482
1152	214350	125300
1153	214535	125114
1154	214731	124934
1155	214920	124750
1156	215092	124556
1157	215305	124386
1158	215507	124209
1159	215701	124028
1160	215878	123837
1161	216052	123644
1162	216232	123455
1163	216387	123251
1164	216562	123059
1165	216776	122889
1166	216973	122710
1167	217142	122514
1168	217348	122340
1169	217522	122147
1170	217722	121969
1171	217934	121797
1172	218144	121625
1173	218331	121439
1174	218524	121257
1175	218733	121084
1176	218903	120889
1177	219101	120710
1178	219290	120525
1179	219494	120350
1180	219706	120178
1181	219890	119991
1182	220068	119800
1183	220227	119600
1184	220398	119405
1185	220570	119212
1186	220756	119026
1187	220950	118844
1188	221154	118668
1189	221343	118483
1190	221536	118301
1191	221736	118123
1192	221912	117931
1193	222128	117761
1194	222383	117611
1195	222583	117433
1196	222769	117247
1197	222977	117072
1198	223140	116874
1199	223334	116692
1200	223512	116501
1201	223682	116307
1202	223874	116124
1203	224062	115939
1204	224245	115751
1205	224477	115589
1206	224643	115392
1207	224797	115189
1208	224992	115008
1209	225181	114823
1210	225372	114640
1211	225570	114460
1212	225776	114284
1213	225947	114090
1214	226112	113893
1215	226325	113721
1216	226510	113534
1217	226692	113346
1218	226862	113152
1219	227049	112966
1220	227230	112777
1221	227430	112598
1222	227617	112413
1223	227824	112236
1224	228011	112051
1225	228201	111867
1226	228388	111681
1227	228586	111501
1228	228831	111343
1229	229033	111165
1230	229240	110988
1231	229430	110804
1232	229609	110614
1233	229809	110435
1234	230000	110251
1235	230208	110075
1236	230412	109897
1237	230596	109710
1238	230805	109534
1239	230998	109351
1240	231167	109157
1241	231366	108977
1242	231558	108793
1243	231742	108606
1244	231930	108420
1245	232134	108242
1246	232330	108060
1247	232533	107882
1248	232766	107717
1249	232988	107547
1250	233220	107382
1251	233421	107202
1252	233614	107019
1253	233825	106843
1254	234017	106659
1255	234286	106510
1256	234498	106336
1257	234718	106164
1258	234921	105985
1259	235116	105802
1260	235327	105626
1261	235532	105448
1262	235727	105265
1263	235911	105077
1264	236089	104887
1265	236293	104708
1266	236457	104511
1267	236633	104320
1268	236799	104124
1269	236986	103938
1270	237212	103768
1271	237436	103598
1272	237662	103428
1273	237849	103242
1274	238035	103055
1275	238255	102883
1276	238453	102701
1277	238674	102529
1278	238864	102343
1279	239038	102151
1280	239196	101952
1281	239450	101794
1282	239662	101618
1283	239915	101459
1284	240108	101275
1285	240317	101097
1286	240520	100917
1287	240736	100743
1288	240941	100563
1289	241121	100373
1290	241300	100183
1291	241486	99996
1292	241682	99813
1293	241881	99631
1294	242066	99443
1295	242242	99252
1296	242433	99066
1297	242610	98875
1298	242799	98689
1299	242981	98501
1300	243159	98310
1301	243340	98121
1302	243503	97924
1303	243710	97745
1304	243911	97564
1305	244122	97387
1306	244296	97195
1307	244497	97013
1308	244686	96827
1309	244862	96636
1310	245026	96440
1311	245233	96261
1312	245424	96076
1313	245598	95884
1314	245804	95705
1315	245993	95518
1316	246164	95325
1317	246371	95146
1318	246569	94963
1319	246788	94789
1320	246998	94611
1321	247223	94438
1322	247424	94257
1323	247647	94083
1324	247846	93901
1325	248030	93712
1326	248240	93534
1327	248438	93351
1328	248660	93177
1329	248872	92999
1330	249089	92823
1331	249258	92629
1332	249478	92455
1333	249661	92266
1334	249819	92068
1335	250035	91891
1336	250253	91715
1337	250484	91544
1338	250678	91359
1339	250877	91177
1340	251068	90991
1341	251249	90801
1342	251420	90608
1343	251587	90414
1344	251778	90228
1345	251981	90046
1346	252155	89855
1347	252376	89679
1348	252616	89511
1349	252862	89344
1350	253069	89164
1351	253265	88980
1352	253484	88803
1353	253701	88626
1354	253896	88442
1355	254127	88269
1356	254289	88073
1357	254492	87891
1358	254708	87714
1359	254886	87523
1360	255047	87327
1361	255242	87142
1362	255449	86961
1363	255627	86770
1364	255869	86601
1365	256059	86415
1366	256256	86231
1367	256462	86049
1368	256699	85878
1369	256947	85711
1370	257158	85531
1371	257419	85368
1372	257617	85184
1373	257866	85017
1374	258080	84838
1375	258279	84654
1376	258477	84469
1377	258694	84291
1378	258942	84123
1379	259183	83952
1380	259389	83771
1381	259659	83609
1382	259870	83429
1383	260072	83245
1384	260270	83060
1385	260485	82881
1386	260682	82696
1387	260877	82511
1388	261113	82338
1389	261342	82163
1390	261545	81979
1391	261730	81790
1392	261916	81602
1393	262116	81417
1394	262299	81228
1395	262499	81043
1396	262707	80861
1397	262889	80671
1398	263090	80488
1399	263283	80301
1400	263482	80116
1401	263695	79936
1402	263889	79749
1403	264074	79560
1404	264247	79368
1405	264402	79170
1406	264605	78986
1407	264771	78792
1408	264962	78604
1409	265137	78413
1410	265339	78229
1411	265525	78040
1412	265727	77856
1413	265922	77670
1414	266108	77481
1415	266288	77291
1416	266475	77103
1417	266642	76908
1418	266842	76724
1419	267029	76535
1420	267268	76362
1421	267462	76176
1422	267658	75990
1423	267836	75799
1424	268018	75609
1425	268221	75425
1426	268426	75242
1427	268622	75056
1428	268807	74867
1429	269001	74680
1430	269246	74508
1431	269488	74335
1432	269677	74147
1433	269834	73950
1434	270058	73772
1435	270249	73584
1436	270484	73409
1437	270720	73233
1438	270961	73059
1439	271136	72867
1440	271384	72695
1441	271610	72517
1442	271840	72340
1443	272046	72156
1444	272264	71975
1445	272507	71801
1446	272683	71610
1447	272873	71422
1448	273078	71237
1449	273274	71051
1450	273468	70864
1451	273661	70677
1452	273849	70488
1453	274035	70299
1454	274207	70106
1455	274406	69920
1456	274621	69739
1457	274809	69550
1458	275005	69363
1459	275178	69171
1460	275352	68979
1461	275519	68785
1462	275723	68600
1463	275914	68413
1464	276098	68223
1465	276301	68038
1466	276479	67847
1467	276678	67661
1468	276889	67478
1469	277097	67294
1470	277291	67107
1471	277471	66917
1472	277670	66731
1473	277865	66544
1474	278075	66361
1475	278278	66176
1476	278448	65982
1477	278619	65790
1478	278818	65604
1479	279019	65418
1480	279200	65228
1481	279375	65036
1482	279554	64846
1483	279733	64655
1484	279922	64467
1485	280129	64282
1486	280325	64095
1487	280518	63908
1488	280714	63721
1489	280923	63537
1490	281120	63351
1491	281299	63160
1492	281490	62972
1493	281659	62779
1494	281867	62595
1495	282065	62408
1496	282248	62219
1497	282442	62031
1498	282663	61850
1499	282871	61665
1500	283066	61478
1501	283264	61292
1502	283454	61103
1503	283664	60919
1504	283867	60734
1505	284042	60543
1506	284246	60357
1507	284438	60169
1508	284604	59976
1509	284820	59793
1510	284987	59600
1511	285245	59426
1512	285433	59237
1513	285620	59048
1514	285811	58860
1515	286007	58672
1516	286215	58488
1517	286435	58306
1518	286623	58117
1519	286810	57928
1520	286961	57731
1521	287166	57546
1522	287359	57358
1523	287567	57173
1524	287757	56985
1525	287926	56792
1526	288110	56603
1527	288294	56413
1528	288474	56223
1529	288682	56038
1530	288874	55850
1531	289069	55662
1532	289274	55477
1533	289450	55286
1534	289655	55100
1535	289862	54915
1536	290061	54728
1537	290250	54539
1538	290434	54350
1539	290634	54163
1540	290833	53976
1541	291004	53784
1542	291183	53594
1543	291379	53407
1544	291566	53218
1545	291774	53032
1546	291964	52844
1547	292172	52658
1548	292359	52469
1549	292541	52279
1550	292714	52088
1551	292868	51893
1552	293081	51709
1553	293264	51519
1554	293483	51336
1555	293681	51148
1556	293874	50960
1557	294067	50772
1558	294248	50582
1559	294451	50396
1560	294623	50204
1561	294801	50014
1562	294996	49826
1563	295184	49637
1564	295403	49454
1565	295596	49266
1566	295804	49080
1567	296015	48895
1568	296199	48705
1569	296393	48517
1570	296586	48329
1571	296791	48143
1572	296982	47955
1573	297180	47767
1574	297377	47580
1575	297572	47392
1576	297768	47204
1577	297939	47013
1578	298135	46825
1579	298326	46637
1580	298527	46450
1581	298699	46258
1582	298889	46070
1583	299071	45880
1584	299266	45692
1585	299474	45506
1586	299686	45321
1587	299861	45130
1588	300106	44949
1589	300314	44763
1590	300512	44576
1591	300682	44384
1592	300875	44196
1593	301157	44021
1594	301358	43833
1595	301539	43643
1596	301724	43454
1597	301892	43262
1598	302130	43080
1599	302342	42894
1600	302539	42706
1601	302726	42517
1602	302946	42333
1603	303157	42147
1604	303324	41955
1605	303541	41770
1606	303752	41584
1607	303940	41394
1608	304114	41203
1609	304330	41018
1610	304522	40829
1611	304704	40639
1612	304904	40452
1613	305094	40263
1614	305298	40076
1615	305486	39887
1616	305687	39699
1617	305894	39512
1618	306075	39322
1619	306297	39138
1620	306496	38950
1621	306695	38762
1622	306893	38574
1623	307083	38385
1624	307264	38195
1625	307458	38006
1626	307634	37816
1627	307818	37626
1628	308012	37437
1629	308182	37246
1630	308380	37058
1631	308578	36870
1632	308777	36682
1633	308989	36496
1634	309165	36305
1635	309347	36115
1636	309539	35926
1637	309732	35738
1638	309922	35549
1639	310134	35362
1640	310323	35173
1641	310543	34988
1642	310758	34801
1643	310954	34613
1644	311154	34425
1645	311356	34237
1646	311573	34051
1647	311762	33862
1648	311962	33674
1649	312182	33488
1650	312440	33306
1651	312608	33115
1652	312782	32924
1653	312984	32736
1654	313188	32548
1655	313391	32361
1656	313642	32178
1657	313825	31988
1658	314019	31799
1659	314211	31610
1660	314408	31421
1661	314587	31231
1662	314771	31041
